問題,元の過去問,回答,他の選択肢,他の選択肢,他の選択肢
特定の企業やグループなどが採用した仕様が広く利用されるようになり、事実上の業界標準になったもの,H21A001,デファクトスタンダード,JIS,ISO,
工業製品に関して、日本工業規格として定めたもの,H21A001,JIS,デファクトスタンダード,ISO,
工業や科学技術に関して、国際標準化機構が定めた規格,H21A001,ISO,JIS,デファクトスタンダード,
その要因となっている複数の事象の構成比率を明らかにして、主要な要因を把握するために用いる図,H21A002,パレート図,,,
原材料の使用量を減らすとともに、消費電力を少なくした製品を提供することこと,H21A003,CSR,バリューエンジニアリング,フレキシブル生産方法,M&A
自社製品に新しい機能を付加し、他社製品と差別化した製品を提供すること,H21A003,バリューエンジニアリング,CSR,フレキシブル生産方法,M&A
セル生産方式を導入し、市場の多様なニーズに合わせた製品を提供すること,H21A003,フレキシブル生産方法,バリューエンジニアリング,CSR,M&A
他企業の買収によって、自社がもっていなかった製品を提供すること,H21A003,M&A,バリューエンジニアリング,フレキシブル生産方法,CSR
顧客に応じた商品の推薦に最適な技術,H21A004,データマイニング,,,
サービス提供事業者が、利用者の通信機器やサーバーを自社の建物内に設置し運用するサービス,H21A006,ハウジングサービス,ASP,MSP,ホスティングサービス
サービス提供事業者が、インターネット経由で業務ソフトウェアを提供するサービス,H21A006,ASP,ハウジングサービス,MSP,ホスティングサービス
サービス提供事業者が、ほかの企業の情報システムに関する企画や開発、運用、管理、保守業務を行うサービス,H21A006,MSP,ハウジングサービス,ASP,ホスティングサービス
サービス提供事業者が、利用者に自社の建物内に設置したサーバや通信機器を貸し出すサービス,H21A006,ホスティングサービス,ハウジングサービス,ASP,MSP
自社では工場をもたずに製品の企画を行い、ほかの企業に生産委託する企業形態のこと,H21A008,ファブレス,OEM,SPA,ODM
相手先の商標やブランドで製造し、供給すること,H21A008,OEM,ファブレス,SPA,ODM
製品の企画から製造、販売までの機能を垂直統合した製造小売業のこと,H21A008,SPA,OEM,ファブレス,ODM
製品の設計、試作、製造を一括して生産受託するサービスのこと,H21A008,ODM,ファブレス,SPA,OEM
2人又はそれ以上の上司から指揮命令を受けるが、プロジェクトの目的別管理と職能部門の職能的責任との調和を図る組織構造,H21A009,マトリックス組織,事業部制組織,社内ベンチャ組織,職能別組織
業務で利用するデータの構造を分析し、抽出したエンティティとエンティティ間の関係をE-R図などで整理する手法,H21A014,データモデリング,データクリーニング,データクレンジング,データマイニング
顧客のニーズや欲求に対する理解が深まり、長期的な関係を築きやすくなる,H21A015,CRM,債権管理システム,SCM,SFA
売掛金に対する顧客の支払い状況を把握しやすくなるシステム,H21A015,債権管理システム,SCM,SFA,CRM
顧客が発注してから納品するまでの時間を短縮しやすくなるシステム,H21A015,SCM,SFA,債権管理システム,CRM
顧客に対するアプローチ方法を営業部門全体で共有しやすくなるシステム,H21A015,SFA,CRM,債権管理システム,SCM
一会計期間ごとに決算を行い、賃借対応表や損益計算書などの財務諸表の作成が強制される会計,H21A018,財務会計,管理会計,-,-
企業の経営者が株主や債権者などの企業外務の利害関係者に対して会計報告を行うこと,H21A018,財務会計,管理会計,-,-
財務諸表規則や企業会計原則、各種会計基準などの会計法規に準拠した会計処理を行う会計の事,H21A018,財務会計,管理会計,-,-
部門、製品、地域別などの予算統制、利益管理、業績管理など、敬遠判断のための内部報告書を作成すること,H21A018,管理会計,財務会計,-,-
システム利用者のニースの管理を行うこと,H21A019,要件定義プロセス,企画プロセス,開発プロセス,-
システム化計画の作成と承認を行うこと,H21A019,企画プロセス,開発プロセス,要件定義プロセス,-
システム詳細設計の実施をすること,H21A019,開発プロセス,要件定義プロセス,企画プロセス,-
システム投資効果とシステム化費用の予測を行うこと,H21A019,企画プロセス,開発プロセス,要件定義プロセス,-
従来、代理店を通じて販売していた商品のECサイトでの直販を開始する場合のビジネス手法,H21A022,4PのPlace,,,
PCやインターネットなどのITを利用する能力や機会の違いによって、経済的又は社会的な格差が生じること,H21A024,ディジタルディバイト,アクセシビリティ,ダイバーシティ,ディジタルデモクラシー
個人のホームページなどに企業の広告やWebサイトへのリンクを掲載し、誘導実績に応じた報酬を支払う仕組み,H21A026,アフィリエイト広告,オプトインメール,SEO,バナー
あらかじめ受信者の許可を得て、興味のある分野の広告を電子メールで送ること。,H21A026,オプトインメール,アフィリエイト広告,SEO,バナー
自社のWebサイトを検索エンジンの検索結果の上位に掲載させること。,H21A026,SEO,アフィリエイト広告,オプトインメール,バナー
大規模なポータルサイトなどに自社のWebサイトへの入り口となる画像を設置し、誘導すること。,H21A026,バナー,アフィリエイト広告,オプトインメール,SEO
製品やサービスの価値を機能とコストの関係で把握し、体系化された手順によって価値の向上を図る手法,H21A027,バリューエンジニアリング,重要成功要因,バリューチェーン,付加価値分析
あるシステムの開発において、システムを24時間連続稼働させることになった。稼働時間について利用部門と取り決めを行う工程,H21A032,システム要件定義,システム結合テスト,システムテスト,ソフトウェア方式設計
データ定義を明確に規定する段階,H21A037,ソフトウェア要件,システム要件定義,企画プロセス,ソフトウェア詳細設計
開発環境のディスク容量を明確に規定する段階,H21A037,システム要件定義,ソフトウェア要件,企画プロセス,ソフトウェア詳細設計
システム化の目標を明確に規定する段階,H21A037,企画プロセス,ソフトウェア要件,システム要件定義,ソフトウェア詳細設計
データベースの最上位レベルの設計を明確に規定する段階,H21A037,ソフトウェア詳細設計,ソフトウェア要件,システム要件定義,企画プロセス
障害の引き起こす可能性のあるプログラムを見つけ、あらかじめ修正すること,H21A038,ソフトウェア保守,プロジェクト管理,ハードウェア保守,-
工程内に開発が終わらないことがわかり、あらかじめ開発要因を増員する,H21A038,プロジェクト管理,ハードウェア保守,ソフトウェア保守,-
取り扱うデータ量が増えてきたので、あらかじめディスクを容量の大きなものに変更した,H21A038,ハードウェア保守,ソフトウェア保守,プロジェクト管理,-
IT関連設備について、最適な使われ方をしているかを常に監視改善すること,H21A040,ファシリティマネジメント,CIM,CRM,SCM
工場の生産ラインの制御にコンピュータやネットワークを利用して、総合的に管理すること,H21A040,CIM,CRM,SCM,ファシリティマネジメント
顧客データベースで顧客に関する情報を管理することによって、企業が顧客と長期的な関係を築くこと,H21A040,CRM,SCM,ファシリティマネジメント,CIM
取引先との受発注、資材の調達から在庫管理、製品の配送などといった事業活動にITを使用して、総合的に管理すること,H21A040,SCM,ファシリティマネジメント,CIM,CRM
ITに関するサービスを提供する企業が、顧客の要求事項を満たすために、運営管理されたサービスを効果的に提供すること,H21A042,ITサービスマネジメント,フィージビリティ,ナレッジマネジメント,プロダクトポートフォリオ
ITに関する新製品や、新サービス、新制度について、事業活動として実現する可能性を検証すること,H21A042,フィージビリティ,ナレッジマネジメント,プロダクトポートフォリオ,ITサービスマネジメント
ITを活用して、組織の中にある過去の経験から得られた知識を整理・管理し、社員が共有することによって効率的にサービスを提供すること,H21A042,ナレッジマネジメント,プロダクトポートフォリオ,ITサービスマネジメント,フィージビリティ
企業が販売しているITに関するサービスについて、市場占有率と業界成長率を図に表し、その位置関係からサービスの在り方について戦略を立てること,H21A042,プロダクトポートフォリオ,ITサービスマネジメント,フィージビリティ,ナレッジマネジメント
外部設計の担当者が設計すべきテストケース,H21A050,システムテスト,結合テスト,単体テスト,運用テスト
内部設計の担当者が設計すべきテストケース,H21A050,結合テスト,単体テスト,運用テスト,システムテスト
プログラム開発の担当者が設計すべきテストケース,H21A050,単体テスト,運用テスト,システムテスト,結合テスト
利用部門の担当者が設計すべきテストケース,H21A050,運用テスト,システムテスト,結合テスト,単体テスト
あらかじめ定義されたIT資産の情報を管理する,H21A053,サービスサポートの構成管理,,,
ファイル転送や電子メールなどのアプリケーションごとの情報の出入り口を示す値,H21A055,ポート番号,MACアドレス,IPアドレス,-
コンピュータやルータにおいてEthernetに接続する物理ポートがもつ固有の値,H21A055,MACアドレス,ポート番号,IPアドレス,-
スイッチングアブにおける物理的なポートの位置を示す値,H21A055,MACアドレス,IPアドレス,ポート番号,-
パケットの送受信においてコンピュータやネットワーク機器を識別する値,H21A055,IPアドレス,MACアドレス,ポート番号,-
インターネットなどのネットワークを介して、自分自身の複製を電子メールに添付して勝手に送信したり、ネットワーク上のほかのコンピュータに自分自身をコピーしたりして、事故増殖するプログラム,H21A058,ワーム,クッキー,スパイウェア,トロイの木馬
主記憶の容量よりも大きなプログラムも実行できるようにする,H21A059,仮想記憶方式,メモリ保護,ハイバネーション,キャッシュメモリ
OSが使用している主記憶の領域などに、アプリケーションプログラムがアクセスすることを防止する,H21A059,メモリ保護,ハイバネーション,キャッシュメモリ,仮想記憶方式
主記憶の情報をハードディスクに書き出してから電力供給を停止することで、作業休止中の消費電力を少なくする,H21A059,ハイバネーション,キャッシュメモリ,仮想記憶方式,メモリ保護
主記憶よりもアクセスが高速なメモリを介在させることによって、CPUの処理を高速化する。,H21A059,キャッシュメモリ,仮想記憶方式,メモリ保護,ハイバネーション
コンピュータシステムが単位時間当たりに処理できるジョブやトランザクションなどの処理件数のこと、コンピュータの処理能力を表す。,H21A061,スループット,アクセスタイム,タイムスタンプ,レスポンスタイム
関係データベースを利用する際に、データが重複したり、データの更新の際に矛盾が生じたりしないようにするためにやること,H21A063,データの正規化,,,
セキュリティ事故の例のうち、大雨によってサーバ室に水が入り、機器が停止する脅威,H21A066,物理的脅威,技術的脅威,人的脅威,-
セキュリティ事故の例のうち、外部から公開サーバに大量のデータが送られて、公開サーバーが停止する脅威,H21A066,技術的脅威,物理的脅威,人的脅威,-
攻撃者がネットワークを介して社内のサーバに侵入し、ファイルを破壊する脅威,H21A066,技術的脅威,物理的脅威,人的脅威,-
社員がコンピュータを誤操作し、データが破壊されるような脅威,H21A066,人的脅威,技術的脅威,物理的脅威,-
人間がシステムの操作を誤ってもシステムの安全性と信頼性を保持すること,H21A067,フールプルーフ,フェールセーフ,フォールトトレラント,フォールトアポインダンス
故障などでシステムに障害が発生した際に、被害を最小限にとどめるようにシステムを安全な状態にとどめる。,H21A067,フェールセーフ,フォールトトレラント,フォールトアポインダンス,フールプルーフ
システム障害は必ず発生するという発想のもと、故障の影響を最小限に抑えるために、機器の多重化などの仕組みを作る,H21A067,フォールトトレラント,フォールトアポインダンス,フールプルーフ,フェールセーフ
システムに故障が発生する確率を限りなくゼロに近づけていくこと,H21A067,フォールトアポインダンス,フールプルーフ,フェールセーフ,フォールトトレラント
サーバからダウンロードされ、クライアントであるWebブラウザに組み込まれて実行されるプログラムのこと,H21A068,アプレット,Coccie,HTML,SQL
WebブラウザがWebサイトにアクセスしたときにWebサイトから送信され、利用者用のPCに保存される文書ファイル,H21A068,Coccie,HTML,SQL,アプレット
Webページを作成するための言語,H21A068,HTML,SQL,アプレット,Coccie
データベースを操作して、データの追加や変更、削除、検索などの処理を行うための言語,H21A068,SQL,アプレット,Coccie,HTML
受信者の承諾なしに無差別に送付されるメール,H21A071,スパムメール,メーリングリスト,チェーンメール,掲示板
特定の目的のもとにあらかじめ登録した参加者全員に同じメールを配信すること,H21A071,メーリングリスト,チェーンメール,掲示板,スパムメール
メールの主人者が複数の相手に同一内容のメールの送信や転送を行い、受信者が増加し続けるメールのとこ,H21A071,チェーンメール,掲示板,スパムメール,メーリングリスト
メールやWebページを用いてメッセージを書き込み、不特定多数の相手と情報交換ができるコンピュータを用いたメッセージ交換システムのこと,H21A071,掲示板,スパムメール,メーリングリスト,チェーンメール
多数のPCに感染して、ネットワークを通じた指示に従ってPCを不正に操作することで一斉攻撃などの動作を行うプログラムのこと,H21A073,ボット,ワンクリック詐欺,rootkit,スパイウェア
Webサイトの閲覧や画像のクリックだけで料金を請求する詐欺のこと,H21A073,ワンクリック詐欺,rootkit,スパイウェア,ボット
攻撃者がPCへの侵入後に利用するために、ログの消去やバックドアなどの攻撃ツールをパッケージ化して隠しておく仕組みのこと,H21A073,rootkit,スパイウェア,ボット,ワンクリック詐欺
利用者の意図に反してインストールされ、利用者の個人情報やアクセス履歴などの情報を収集するプログラムのこと,H21A073,スパイウェア,ボット,ワンクリック詐欺,rootkit
ブログやニュースサイト、電子掲示板などのWebサイトで、効率の良い情報収集や情報発信を行うために用いられており、ページの見出しやようやく、更新時刻などのメタデータを、構造化して記述するためのXMLベースの文書形式,H21A075,RSS,API,OPEN XML,XHTML
収容局から家庭までの加入者線が光ファイバーケーブルであるもの,H21A077,FTTH,ADSL,HDSL,ISDN
複数のハードディスクに分散してデータを書き込み、高速性や耐故障性を高める。,H21A078,RAID,,,
ファイアウォールを設置することで、インターネットからもイントラネットからもアクセスは可能だが、イントラネットへのアクセスを禁止しているネットワーク上の領域はどれか,H21A079,DMZ,DHCP,DNS,DoS
文字や図形、静止画像、動画像、音声など複数の素材を組み合わせて編集し、コンテンツを作成する,H21A080,オーサリングソフト,,,
公開鍵が被認証者のものであることを示す証明書を発行する。,H21A085,認証局,,,
2系統のコンピュータが、互いの処理結果を照合しながら同一処理を行うシステム,H21A086,デュアルシステム,マルチシステム,ディプレックスシステム,タンデムシステム
1代のコンピュータに複数のマイクロプロセッサを搭載し、並列処理ができるシステム,H21A086,マルチシステム,ディプレックスシステム,タンデムシステム,デュアルシステム
障害時に、予備のコンピュータに切り替えて処理を継続するシステム,H21A086,ディプレックスシステム,タンデムシステム,デュアルシステム,マルチシステム
複数のコンピュータを直列に接続して、機能を分担するシステム,H21A086,タンデムシステム,デュアルシステム,マルチシステム,ディプレックスシステム
企業の業務に、従業員が私物の携帯情報端末を許可を得た上で利用すること,R8002,BYOD,RPA,BPM,BPR
企業の業務の提携的な作業をソフトウェアのロボットで効率化すること,R8002,RPA,BPM,BPR,BYOD
企業の業務の流れを分析し、継続的に改善、最適化していくこと,R8002,BPM,BPR,BYOD,RPA
企業の業務の流れを見直し、抜本的にデザインし直すこと,R8002,BPR,BYOD,RPA,BPM
戦略ごとに予想される利益の最小値が最も大きくなるように戦略を採用すること,R8003,マクシミン戦略,,,
特定の目的の達成や課題の解決をテーマとして、ソフトウェアの開発者や企画者などが短期集中的にアイディアを出し合い、ソフトウェアの開発などの共同作業を行い、成果を競い合うイベント,R8004,ハッカソン,トレードフェア,パネルディスカッション,レセプション
インターネットを利用した企業広告に関する新たなビジネスモデルを知的財産として出願し、コンピュータシステムとして実現した。このビジネスモデルを保護する法律,R8005,特許法,意匠法,実用新案法,著作権法
デジタル技術が、人間の生活やビジネスなどのあらゆる面に影響を与え、変革をもたらしていくこと,R8006,デジタルトランスフォーメーション,デジテルディバイト,デジタルネイティブ,A/D変換
PCやスマートフォンなどのデジタル製品を使いこなせる人と、使いこなせない人の間でさまざまな機会に差が生じて、社会的な格差につながること,R8006,デジテルディバイト,デジタルネイティブ,A/D変換,デジタルトランスフォーメーション
生まれた時からインターネット、PCやスマートフォンなどのデジタル製品が身近にあり、それらを利用しながら育った世代のこと,R8006,デジタルネイティブ,A/D変換,デジタルトランスフォーメーション,デジテルディバイト
音声を収集するマイクロドフォンなどのアナログ信号を、電子ファイルとして保存するためにデジタル信号に変換すること,R8006,A/D変換,デジタルトランスフォーメーション,デジテルディバイト,デジタルネイティブ
製品やサービスの価値を機能とコストの関係で把握し、価値の向上をはかる,R8007,バリューエンジニアリング,,,
店舗や工場などの設備に設置したセンサーの情報をインターネット経由で集め、設置の状況について、従業員がスマートフォンを用いて監視するような仕組み,R8008,IoT,クラウドファンディング,センチメント分析,オンラインストレージ
資金調達において、不特定多数の借り手と貸し手をインターネット上で仲介するサービスを行う,R8008,クラウドファンディング,センチメント分析,オンラインストレージ,IoT
ソーシャルメディアへの書き込みや、コールセンターの通話内容などから、商品やサービスに対する利用者の感情を分析する,R8008,センチメント分析,オンラインストレージ,IoT,クラウドファンディング
文書や画像などの電子ファイルを保存するためのインターネット上のストレージを、サービスとして提供する,R8008,オンラインストレージ,IoT,クラウドファンディング,センチメント分析
業務プロセスを流れ図を用いて可視化する場合に用いられるもの,R8012,WFA,CRUD図,DMM,E-R図
組織の社会的責任についての国際規格,R8014,ISO 26000,,,
企業が晴らすべき社会的責任を表すISO26000に定められている規格,R8014,CSR,SDGs,コーポレートガバナンス,ソーシャルメディアポリシー
イノベーター理論でアーリーアダプターからアーリーマジョリティへの普及において生じる、超えることが困難な隔たりを表す用語,R8015,キャズム,カニバリゼーション,死の谷,レッドオーシャン
教師あり学習において、正確となる情報を付与する作業を表す用語,R8016,アノテーション,エンコード,データクレンジング,フィルタリング
開発期間や納期の短縮のために採用される並行作業で行うエンジニアリング方法,R8018,コンカレントエンジニアリング,,,
サーバー上にインストールされたアプリケーションソフトウェアをインターネット経由で利用者に提供する事業者、またはそのサービスの形態,R8019,ASP,ISP,アウトソーシング,データウェアハウス
発注者側が、開発すべき情報システムの調達条件などをITベンダーに示すために作成した文書,R8020,RFP,システム要件定義書,開発依頼書,RPQ
発注者と受注したITベンダーが、開発するシステムの仕様を明確にするために共同で作成した設計文書,R8020,システム要件定義書,開発依頼書,RFP,RPQ
ユーザー部門が、情報システム部門に情報システム開発の必要性と開発要件を明確にするように求めた文書,R8020,開発依頼書,RFP,システム要件定義書,RPQ
情報通信ネットワークを通じたコンピュータへの不正侵入などの行為に対する防御施策に監視、基本理念を定め、国及び地方公共団体の責務などを明らかにして、施策の総合的かつ効率的な推進を図ること,R8021,サイバーセキュリティ基本法,不正アクセス禁止法,情報セキュリティ管理基準,不正競争防止法
コンピュータへの不正アクセス行為を定義し、その行為を禁止するとともに罰則を定め、ネットワーク通信秩序の意地を図ること,R8021,不正アクセス禁止法,情報セキュリティ管理基準,不正競争防止法,サイバーセキュリティ基本法
情報セキュリティに関する適切なコントロールを整備、運用するための実践的な規範を定め、企業などで効果的な情報セキュリティ対策の推進を促すこと,R8021,情報セキュリティ管理基準,不正競争防止法,サイバーセキュリティ基本法,不正アクセス禁止法
デジタルコンテンツの複製防止のための技術的制限手段を無効化する行為などを規制することによって、企業などの営業上の利益を確保すること,R8021,不正競争防止法,サイバーセキュリティ基本法,不正アクセス禁止法,情報セキュリティ管理基準
伝票入力処理などの典型的な事務作業を、ソフトウェアロボットに代替させることによって、自動化や効率化を図る手段,R8022,RPA,BPO,EUC,FA
検索エンジンの利用者が検索ボックスに入力したキーワードに連動して、広告を表示する,R8023,リスティング広告,行動ターゲティング広告,オプトイン,メールマガジン広告
Webサイトの閲覧履歴やオンラインショッピングの購買履歴などの利用者の行動履歴を基にして、広告を表示する,R8023,行動ターゲティング広告,オプトイン,メールマガジン広告,リスティング広告
事前に広告メールの受信をキャだくした利用者に対して、広告メールを配信する,R8023,オプトイン,メールマガジン広告,リスティング広告,行動ターゲティング広告
定期的に発行するメールマガジンに、広告を掲載して配信する,R8023,メールマガジン広告,リスティング広告,行動ターゲティング広告,オプトイン
株主をはじめとした利害関係者による経営者への監視や監査を中心とした、企業活動を律する枠組みのこと,R8024,コーポレートガバナンス,,,
資本活用の効率性を示す指標,R5020,総資本回転率,,,
企業が活動を行う上で必要な資本の調達のこと,R8024,コーポレートファイナンス,コーポレートアイデンティティ,コアコンピタンス,-
企業の理念や特性を、統一されたイメージやデザインなどで発信し、企業のブランド価値の向上を図ること,R8024,コーポレートアイデンティティ,コアコンピタンス,コーポレートファイナンス,-
競合他社では提供が不可能な価値をもたらす、企業が有する独自のスキルや技術のこと,R8024,コアコンピタンス,コーポレートファイナンス,コーポレートアイデンティティ,-
大容量、頻繁な更新、多種多様という３つの要素を持つ情報資産を「ビッグデータ」と定義する考え方がある。このビッグデータの特徴づける三つの要素を総称した言葉,R8025,3V,,,
大容量、頻繁な更新、多種多様という３つの要素を持つ情報資産,R8025,ビッグデータ,,,
AさんはX事業を実施している部門の購買組織に属している。Y事業の購買はY事業を実施している部門の購買組織が担当している。,R8026,事業部制組織,職能性組織,マトリクス制組織,プロジェクト制組織
Bさんは複数の事業の人事機能を担当する組織に所属している。開発、生産、販売機能も同様に、それぞれ専門の組織が担当している。,R8026,職能性組織,マトリクス制組織,プロジェクト制組織,事業部制組織
Cさんは地域Mで製品Xの販売を担当しており、地域Mの販売に責任を持つ上司と製品Xの販売に責任を持つ上司の、2人の上司の指示を受けている。,R8026,マトリクス制組織,プロジェクト制組織,事業部制組織,職能性組織
Dさんは新規事業の企画開発を目的として関係部署から横断的に人材を集めた組織に所属している。この組織は企画開発が終わり次第解散する。,R8026,プロジェクト制組織,事業部制組織,職能性組織,マトリクス制組織
属人化していて、担当者によって作成物の品質が異なる作業,R8031,リーン生産方式のムラ,リーン生産方式のムリ,リーン生産方式のムダ,-
組織の能力以上に負担をかける無謀な計画や作業標準,R8031,リーン生産方式のムリ,リーン生産方式のムダ,リーン生産方式のムラ,-
待機や必要以上の加工など、付加価値を生まない動作,R8031,リーン生産方式のムダ,リーン生産方式のムリ,リーン生産方式のムラ,-
長時間、身体の一部に負担がかり、健康を害する恐れのある作業,R8031,リーン生産方式のムリ,リーン生産方式のムダ,リーン生産方式のムラ,-
金属加工メーカーD社は、自社固有の加工技術を生かして、密閉度の極めて高い高価な無水調理鍋を高級レストラン向けに販売することにした,R8032,ニッチ戦略,コストリーダーシップ,MA,撤退戦略
アパレルメーカーA社は、生産コストを下げるために、生産拠点を海外に移した,R8032,コストリーダーシップ,MA,撤退戦略,ニッチ戦略
業界2位の食品メーカーB社は、トップシェアを獲得するために、業界3位のC社と経営統合することにした,R8032,MA,撤退戦略,ニッチ戦略,コストリーダーシップ
電機メーカーE社は、販売量が減ってきた中型テレビ事業を売却し、完全撤退することにした。,R8032,撤退戦略,ニッチ戦略,コストリーダーシップ,MA
購買、製造、販売という供給者から消費者までを結ぶ一連の業務のつながりを総合的に管理し、資材の調達から顧客への販売に至る在庫などの無駄をなくして、プロセス全体の最適化を図るもの,R8033,CRM,POS,SCM,SFA
要求受講が明確であり仕様変更が少ないことが見込まれるソフトウェアの開発に用いる開発モデル・手法,R8038,ウォーターフォールモデル,アジャイル,スパイラルモデル,プロトタイピングモデル
システム稼働後の段階で、利用者からの問い合わせを受け付ける窓口,R8042,サービスデスク,,,
ある企業でスマートフォン向けのアプリケーションソフトウェアの開発を計画しており、2週間ごとに新機能や不具合の修正を含めたアタrしいバージョンを繰り返しリリースすることにした、新機能の候補や不具合は一覧表で管理し、優先順位をつけて開発し、逐次リリースする方針,R8043,アジャイル,DevOps,ウォーターフォール,リバースエンジニアリング
プロジェクトにおいて、新規プロジェクトを正式に認可する文書,R8045,プロジェクト憲章,ステークホルダー登録簿,プロジェクトスコープ記述書,リスク登録簿
障害の根本原因を調査し、問題の解決策を提示する,R8046,問題管理,構成管理,インシデント管理,変更管理
ITサービスを提供するためのハードウェア、ソフトウェア、ドキュメントなどの構成情報を維持管理する,R8046,構成管理,インシデント管理,変更管理,問題管理
計画外のITサービスの中断に対して、迅速にサービスを復旧する,R8046,インシデント管理,変更管理,問題管理,構成管理
プログラム修正を実施するための計画を立てて、確実に修正されるように管理する。,R8046,変更管理,問題管理,構成管理,インシデント管理
情報システムに係るリスクに対して、組織において適切に対応していることの検証,R8047,システム監査,情報セキュリティ監査,会計監査,業務監査
業務で使用している情報の漏洩に関するリスクマネジメントが高価的に実施されていることの検証,R8047,情報セキュリティ監査,会計監査,業務監査,システム監査
財務諸表の作成に至る業務全般に関して、不正や誤りがなく処理されていることの検証,R8047,会計監査,業務監査,システム監査,情報セキュリティ監査
情報システムの利用を含めた組織内の諸業務が組織の方針に従って、合理的かつ効率的に運用されていることの検証,R8047,業務監査,システム監査,情報セキュリティ監査,会計監査
SLAの計画立案、サービス内容の交渉、草案作成、合意、導入、測定などの活動を行うもの,R8053,サービスレベル管理,アウトソーシング,サービスレベル契約,リエンジニアリング
複数のトランザクションによるメモリ上のデータ更新の結果を、一度にまとめてHDDなどの外部記憶装置に書き込む操作や、操作が行われた時点のこと,R8056,チェックポイント,コミット,ロールバック,デッドロック
